header,content
Function?,"Table 1.2 shows some specialised cells and how they have been modifiedfor specific functions.Table 1.2Examples of specialised cells and their adaptationsDifferentiationis the process by which a cell becomes specialised for aspecific function.Cell StructureAdaptation to FunctionRed blood cell•Containshaemoglobin(a redpigment) which binds to oxygenand transports it around the body•Has a circular,biconcaveshapewhich increases the surfacearea-to-volume ratio so thatoxygen can diffuse in and out at ahigher rate•Lacks a nucleus, enabling the cellto store more haemoglobin fortransport of oxygen•Is flexible and can squeezethrough capillaries easilyMuscle cell• Is elongated and cylindrical inshape, contains many nucleiand mitochondria• Has mitochondria to provide theenergy for the contraction of themuscle cellRoot hair cell•Has a long and narrow root hairto increase the surface area-to-volume ratio to absorb water andmineral salts at a higher rateStructure andFunctionSpecialised cells havestructures whichhelp them carry outtheir functions moreefficiently."
Glycogen and Starch Are Stores of Glucose,"Plants store glucose in the form of starch.Animals cannot make or storestarch in their bodies. We get most of our carbohydrates from plants in theform of starch.In animals, the main store of glucose is glycogen. Hence, glycogen issometimes called ‘animal starch’. In mammals, glycogen is stored mainly inthe liver and the muscles (Figure 3.12).Figure 3.12Glycogen and starch as stores of glucoseFigure 3.13Digestion of starchGlycogen and starch are suitable as storage materials in cells because:• They are insoluble in water, so they do not change the water potential inthe cells.• They are large molecules that cannot diffuse through cell membranes, sothey will not be lost from the cell.• They can easily be easily broken down to glucose when needed, forexample, in tissue respiration.• Their molecules have compact shapes, so they occupy less spacethan all the individual glucose molecules that make up a glycogen orstarch molecule."
Golgi body,TheGolgi body(also known asGolgi apparatus) isshaped like a disc. It consists of a stack of flattenedspaces surrounded by membranes.Vesicles(tinyspherical spaces enclosed by a membrane) can be seenfusing with one side of the Golgi body and pinching offfrom the opposite side (Figure 1.12).The Golgi body:• chemically modifies substances made by the ER• stores and packages these substances in vesicles forsecretion out of the cell(b)Three-dimensional view of Golgi bodytubule of smoothendoplasmicreticulum(a)Colourised electron micrograph ofGolgi body (6 250×)flat spacemembraneWhat role do fats play inyour body? Read moreabout them in Chapter 3.What role do sexhormones play in yourbody? Read more aboutthem in Chapter 17.
How Are Enzymes Classified?,Enzymes are classified according to the chemical reactions they catalyse.For example:•carbohydrasesare enzymes that digest carbohydrates•proteasesare enzymes that digest proteins•lipasesare enzymes that digest fats (lipids)1 (a)What is an enzyme?(b)What are thetwotypes of reactions that enzymes catalyse?2The unripe fruit of the papaya tree contains a particular type ofdigestive enzyme that is often used to soften meat.(a)Infer the kind of organic molecule that this enzyme acts on.(b)Suggest how the enzyme may cause the effect of softeningof meat.3Red blood cells contain a common enzyme known as catalase.What do you think would happen if a drop of blood was added to asolution of hydrogen peroxide?Let’s Practise 4.1Theory WorkbookWorksheet 4A
How Are Enzymes Named?,"Previously, enzymes were simply named by the persons whodiscovered them. For example, pepsin (a type of protease) wasdiscovered and named by a scientist, Theodor Schwann(Figure 4.6), who was studying digestive processes. ‘Pepsin’means ‘to digest’ in Greek.However, naming enzymes this way led to a lot ofconfusion. Nowadays, enzymes are named according to ascientific system. The name of each enzyme:• shows the substance on which the enzyme acts• ends in ‘ase’For example, lipase refers to an enzyme that actson lipids."
How Can We Study the Parts of the Cell?,"Most cells are too small to be seen with our eyes alone. We can use lightand electron microscopes to help us to see cells and their parts. Over300 years ago, biologists like Robert Hooke and Antonie vanLeeuwenhoek created their own light microscopes to studymicroscopic objects!•Light microscopesmagnify objects up to 1000x (spoken:one thousand times) (Figure 1.2(a)).•Electron microscopesmagnify objects to more than200 000x (spoken: two hundred thousand times)(Figure 1.2(b)).A camera can be fitted to either type of microscope to takepictures. These pictures are calledmicrographs.•Light micrographscan come out as colour images.•Electron micrographsare black-and-white images, but they can beartificially colourised.To get a clearer picture of how a cell is constructed, we may need to makea section of the cell at different planes (Figure 1.3).(b)Cutting a transverse section (T.S.)(i.e., cuttingacrossthe length of the cell)(a)Cutting a longitudinal section (L.S.)(i.e., cuttingalongthe length of the cell)(b)electronmicroscope(a)lightmicroscope"
How Can We Test for Fats?,"Theethanol emulsion testis a test for the presence of fats. A white emulsionis formed when ethanol and water are added to fats. Anemulsionis asuspension of small drops of a liquid in another liquid.AimTo test for the presence of fats in food samples using theethanol emulsion testProcedure1On samples in liquid state (e.g. coconut oil):(a)Add 2 cm3of ethanol to a drop of liquid sample in atest-tube and shake the mixture thoroughly.(b)Add 2 cm3of water to the mixture and shake the mixture.(c)Record your observation.2On samples in solid state (e.g. peanut):(a)Crush the solid sample into small pieces using amortar and pestle and place the pieces in a test-tube.(b)Add 2 cm3of ethanol into the test-tube and shakethoroughly.(c)Allow the solid particles to settle. Carefully decant theethanol (pour off the top layer of ethanol) into another test-tubecontaining 2 cm3of water and shake the mixture.(d)Record your observation.ObservationThe white emulsion produced indicates the presence of fats (Figure 3.19).Let’s Investigate 3.31List the chemical elements that make up fats.2Listthreefunctions of fats.3Describe how you would test for fats in a food sample.Let’s Practise 3.2How has our opinion of eating eggs changed over time? In the past, eggswere considered bad for our health and we were discouraged from eatingmore than two per week. Now, eggs are considered by some nutritionists asthe “perfect food”. They are believed to contain all the necessary nutrientsthat are good for our growth and maintenance of the body (Figure 3.20).Eggs also contain cholesterol, which is a type of lipid.What about the discussion on cholesterol intake? Is the amount ofcholesterol found in our blood determined by how much cholesterol wetake in from food? Or is cholesterol manufactured by our bodies fromother types of nutrients? Are all forms of cholesterol bad for our health?Our knowledge of nutrients, and the roles they play in our lives, keepsmaturing as we gain a better understanding of how our bodies function.What attitudes should we embrace as we continue to explore this topicand discover more insights on food and nutrients? How should we behavewhen these insights from the latest research studies contradict what wethought we knew about the topic?"
How Can We Test for Proteins?,"Proteins can be detected by the biuret test. Thebiuret solutionis a blue solution madeup of sodium hydroxide and copper(II) sulfate. It turns violet (deep purple) whenproteins are present.AimTo test for the presence of proteins in a food sample (e.g. egg white) using biuret solutionProcedure1To 2 cm3of liquid food sample (e.g. eggwhite), add an equal volume of biuretsolution.2Shake well and allow the mixture to standfor five minutes.3Record your observation."
How Can We Test for Reducing Sugars?,"Glucose, fructose and maltose are also known asreducing sugars. Reducingsugars will produce a red precipitate when boiled with Benedict’s solution(refer to Let’s Investigate 3.1). Sucrose is a non-reducing sugar and will notgive a red precipitate with this test.AimTo test for the presence of reducing sugars in different food samplesusing Benedict’s solutionProcedure1Place 2 cm3of each food sample into a test-tube (Figure 3.6).2Add 2 cm3of Benedict’s solution to the food sample (Figure 3.7).3Shake the mixture and place the test-tube in a boiling water-bathfor 2–3 minutes (Figure 3.8).4Record the colour of the solution."
How Can We Test for Starch?,Starch can be detected by the iodine test. A few drops ofiodine solutiontoany substance containing starch will produce a blue-black colour.
How Did Cells Get Their Name?,"The term ‘cells’ was first introduced by an English scientist, Robert Hooke, in 1667.He used one of the earliest microscopes to examine thin slices of cork from the barkof a tree (Figure 1.1). Hooke saw closely packed little boxes with thick walls. He namedthe boxes ‘cells’, just like the cells in a honeycomb or a prison. In fact,Hooke only saw the walls of dead plant cells."
How Does Osmosis Affect Living Organisms?,"A cell is surrounded by a living, partially permeable cell membrane.Enclosed within the cell membrane are the nucleus, cytoplasm and amixture of various substances.Note that the cell wall of plants is permeable and allows most dissolvedsubstances to pass through.A plant cell behaves differently from an animalcell when placed in solutions with differing water potentials. This is due tothe presence of the cell wall in plant cells."
How Does an Enzyme Work?,"Enzymes are highly specific in their action. For example, amylases onlyact on starch, and not on proteins or fats. Similarly, proteases act only onproteins, and lipases only on fats. Thisenzyme specificitymeans that eachchemical reaction inside a cell is catalysed by a unique enzyme."
Imagining Cells as Chemical Factories,"All living things are made up of billions of tiny cells, just as a building is made of bricks.Cells are the building blocks of life. They are the simplest structural and functional units of life.What do you think cells do? To answer this question, you need to imagine your cells aschemical factories. Many chemical reactions occur continually inside these factories to keepyou alive. For example:• A cell takes in raw materials.• Then, it processes these materials to make new molecules.• These molecules can either be used by the cell itself or transported to other parts ofthe body.In any factory, there are different departments that carry out different functions. A cell alsohas different structures that perform different roles within the cell. For example, mitochondriaprovide energy for cell activities, and chloroplasts carry out photosynthesis. Such division oflabour increases efficiency within the system. It ensures that the cell can survive and performits role within the body."
Let’s Investigate 2.2,"Calculating Surface Area-to-volume Ratios1Consider three cubes of sides 1 cm, 2 cm, and 3 cm respectively. We use three cubes torepresent cells of different sizes.2Complete Table 2.1.Table 2.1Surface area-to-volume ratio of three cubes representing cells of different sizesCubesides 1 cmsides 2 cmsides 3 cmSurface areaArea of one face= 1 cm × 1 cm = 1 cm2Surface area= number of faces ×area of one face= 6 × 1 cm2= 6 cm2VolumeVolume= 1 cm × 1 cm × 1 cm= 1 cm3Surfacearea-to-volume ratio6 cm2: 1 cm3"
Let’s Investigate 2.3,Figure 2.10Three agar blocks with the same volume but different surface areavilliepithelialcelllumenof small intestine
Let’s Investigate 3.1,Practical WorkbookExperiment 3A
Let’s Investigate 3.2,1Describe how you would test for reducing sugars in a food sample.2Describe how you would test for starch in a food sample.3Outline the role of carbohydrates in the life of an organism.4What do you think will happen if you add some amylase to a starchsolution and test the resulting solution with Benedict’s solutionafter five minutes?
Let’s Investigate 3.4,"1 (a)List the chemical elements that make up proteins.(b)Listthreefunctions of proteins.2Describe how you would test for proteins in a food sample.3Food tests were carried out on three different foods, labelled A, B and C.The results of the tests are given in Table 3.4.Table 3.4Results of food tests"
Let’s Investigate 3.5,"Nutrition CoachNutrition coaches work with their clients to guide them towards a healthy lifestyle (Figure 3.26).They help their clients to incorporate healthy eating behaviours into their lifestyle.To be successful at this, nutrition coaches need to have a good knowledge of what nutrients can dofor our health. They must have a good understanding of human behaviour, especially when peopleare faced with changes in life. They can incorporate healthy diets into the programmes to build thephysical fitness of their clients."
Let’s Investigate 4.1,"AimTo find out how temperature affects enzyme actionProcedure1Label and fill test-tubes A1, B1, C1and D1with 5 cm3of starch solutionrespectively.2Label and fill test-tube D2with 3 cm3of distilled water, and test-tubes A2,B2and C2with 3 cm3of amylase solution respectively.3Set up the experiment (see Figure 4.12 on the next page) by placing thetest-tubes into water-baths of varying temperatures as shown in the tablebelow.4After 5 minutes, pour the contents of test-tubes A2, B2, C2and D2intotest-tubes A1, B1, C1and D1, respectively. Shake to mix the contents in eachtest-tube. Return the test-tubes to their respective water baths.5After 1 minute, remove one drop from each solution with a droppingpipette and put it in the well in the plate provided. Then test it witha drop of iodine solution. (The solution turns blue-black if starch ispresent.)6Continue step 5 at 1-minute intervals until the iodine solution remainsbrown. This shows that all the starch has been digested.7Record the total time (T) taken (in minutes) for the starch in eachtest-tube to be completely digested.Test-tubesA1, A2B1, B2C1, C2D1, D2Temperature / ˚C03710037"
Let’s Investigate 4.2,"1Figure 4.16 represents the action of an enzyme.(a)Nametwoproperties of enzymes that are illustrated in the figure.(b)Statetwoother features, not necessarily shown in the figure.2What is the process of denaturation in enzymes?"
Let’s Practise 1.2,red bloodcellroot haircell
Let’s Practise 2.1,"Figure 2.12Root hair cellFigure 2.13Epithelial cellFigure 2.14Redblood cellChemistryWe learn that movingparticles have kineticenergy. As temperatureincreases, particlesgain more energy andmove faster. The rate ofdiffusion increases asthe temperature of thesolution increases."
Let’s Practise 3.1,Figure 3.14Iodine solution on the food sample turns from brown to blue-black.
Let’s Practise 3.3,Practical WorkbookExperiment 3A
Let’s Practise 4.2,substrateproductsenzymeenzyme
Let’s Review,Figure 2.32Figure 2.34Figure 2.33
Link,"AimTo investigate how pH affects enzyme actionProcedure1Label four test-tubes A, B, C and D, respectively.2Fill the four test-tubes as follows:Table 4.1Observation and Discussion1Which test-tube is protease active in? What would be observed in thistest-tube?2What are the purposes of test-tube B and test-tube D?Test-tubeContentsAa piece of boiled egg white + 10 drops dilute hydrochloricacid + 3 cm3protease found in the human stomachBa piece of boiled egg white + 10 drops dilute hydrochloricacid + 3 cm3distilled waterCa piece of boiled egg white + 10 drops dilute sodiumcarbonate + 3 cm3protease found in the human stomachDa piece of boiled egg white + 10 drops distilled water +3 cm3protease found in the human stomach"
Mitochondria,"Mitochondria(singular: mitochondrion) are small oval or sausage-shapedorganelles (Figure 1.14). Aerobic respiration occurs in the mitochondria.During aerobic respiration, food substances are broken down to releaseenergy (see Chapter 7). This energy may be used by the cell to perform cellactivities such as growth and reproduction."
Note,"Optimum pH values ofsome enzymes:• amylase (a carbohydrase)in saliva: pH 7• protease in stomach: pH 2• protease in smallintestine: pH 8Figure 4.13Effect of pH on the rate of reactions catalysed by different enzymesFigure 4.12Experimental set-up to show how temperature affects enzyme actionConclusion1The less time taken to digest starch, the more active the enzyme is.In this investigation, enzyme activity is measured by calculating(the reciprocal of the time taken to digest starch). What can youconclude about the effect of temperature on the activity of amylasefrom the graph ofagainst temperature?1T1TObservation1The iodine solution turned blue-black when test-tube A1was tested forstarch at the various 1-minute intervals.2The iodine solution remained brown when test-tube B1was tested forstarch afterTminutes.3The iodine solution turned blue-black when test-tube C1was tested forstarch at the various 1-minute intervals.4The iodine solution turned blue-black when test-tube D1was tested forstarch at the various 1-minute intervals.Scan the QR code toexplore a simulation onthe effects of temperatureand pH on the rate ofenzyme reaction."
Osmosis,"The cell membrane is apartially permeable membrane.It allowssome substances to pass through but not others.Figure 2.15 shows thetwo arms of a U-tube separated by a partially permeable membrane.This membrane is permeable to water molecules but not to sucrosemolecules. Sucrose is cane sugar, also known as table sugar.29"
Practical Workbook,Experiments 4A–4B
Present,"Figure 3.20Eggs contain protein,healthy fats and many nutrients likevitamins A, D and E, iron and folate.Practical WorkbookExperiment 3A"
Present in Our Food?,"You can carry out food tests on a variety of foods, for example, peanut,cucumber, onion, tomato and banana in order to find out what nutrientsthey contain. The following points in Let’s Investigate 3.5 are worth noting.ABCScan the QR code toexplore a simulationon testing fornutrients."
Proteins,"Proteinsare organic molecules made up of the elements carbon, hydrogen,oxygen and nitrogen. Another element, sulfur, may also be present.Proteins are always present in all cells. Their molecules are the largest andmost complicated of all the food substances. Proteins arecommonly found in the meat of animals (Figure 3.21).Figure 3.21Fish meat contains proteins.There are 20 different naturally occurring amino acids, for example,methionine and valine. They differ because of their differentRgroups.Amino acids are combined in various ways to form millions of differentprotein molecules, just as the 26 letters of the alphabet can be used toform a very large number of words."
